74410,284979,950868,888168
74410,232840,542527
222688,520267,291169
53858,325123,1230186
1834,232840,465025
74410,232840,541465
222688,320340,517667
74410,950868,888238
323351,1207256,3408134
222688,325419,292356
53858,284979,324847,2936136
53858,74410,192620
38321,53858,197219
222688,1286248,291013
74410,284979,696332
14877,222688,284616
232840,689758,544799
1834,284979,324847,950868,2936694
94006,324847,2935920
325123,1285762,3423882
74410,1271772,276218
9586,53858,1128678
222688,326139,682616
232840,2855328,464987
72324,520646,1130726
53858,325123,1253676
222688,326139,289880
